Fine_name,Keywords,label1,label2
archimedes_principle,upward buoyant force 0.09764002442281922,1,1
,sulphuric acid 0.0855887286967505,0,0
,stone 0.08353554674738589,0,0
,mass 0.07553665817823035,1,1
,density 0.07376846919027856,1,1
,second student 0.06179080395770108,0,0
,fourth student 0.061208701477583935,0,0
,third student 0.05815350558422833,0,0
,first student 0.0519066275529451,0,0
,experiment 0.05023734932606733,1,1
,archimedes' principle 0.019928962574967707,1,1
,mass (mass spectrometry) 0.01917883936987029,1,1
,double-slit experiment 0.019059621255741847,0,0
,mass spectrometry 0.018993567809762177,1,0
,electron density 0.018060614010485553,0,0
,reaction (physics) 0.017953066422518035,0,1
,cavendish experiment 0.01758124163321431,0,0
,mass–energy equivalence 0.01749009417186636,0,0
,molar mass 0.017447397838876378,0,0
,glossary of physic 0.01716762508394504,0,0
,,,
biomolecules,ribosomal rna 0.017143360589150086,1,1
,rna molecule 0.017078116341865887,1,1
,functional rna molecule 0.016949384932049984,1,1
,small nucleolar rna 0.016906977892464908,1,1
,small rna molecule 0.01681003584919991,1,1
,rna polymerase 0.01678416777258044,1,0
,transfer rna 0.016238853472277576,1,1
,sn\. rna 0.016174983781011197,0,1
,particular rna polymerase 0.016125013045101496,0,0
,rna polymerase iii 0.028777721537204794,1,1
,rna polymerase ii 0.028653109145134158,1,1
,rna-dependent rna polymerase 0.02858089846972723,1,1
,rna polymerase i 0.028001824997406714,1,1
,small nucleolar rna snord38 0.0279145873174962,1,0
,non-coding rna 0.027608506413671175,1,1
,23 ribosomal rna 0.02759807160050336,1,1
,rna polymerase ii holoenzyme 0.027545586989623665,1,1
,,,
crack_band_semeval,maximum tensile principal strain 0.03668162091999868,1,1
,strain tensor 0.0337395031441573,1,1
,inelastic strain law 0.03311803037370317,1,1
,tensile part 0.03268455655134321,1,0
,compressive part 0.032647511287156095,1,1
,inelastic strain 0.03252624018598978,1,1
,inelastic strain profile 0.0324629124036886,0,1
,mesh dependence 0.03207239321971596,1,1
,compressive damage parameter 0.030893580878816797,1,0
,mesh size independent load 0.030174199680610567,1,1
,tensile structure 0.025933047596022923,1,0
,deformation (engineering) 0.024753845475943646,0,0
,viscous stress tensor 0.023880949069977415,1,0
,deformation (physics) 0.023436869699293487,0,0
,infinitesimal strain theory 0.023275489505630638,1,0
,strain-rate tensor 0.023084509371554932,1,1
,finite strain theory 0.022884699333783887,1,1
,elastic modulus 0.022859239144976982,1,1
,plasticity (physics) 0.02282586094592719,0,0
,hooke's law 0.022018829713875927,1,1
,,,
exothermic_endothermic,endothermic reaction 0.032634878125936906,1,1
,exothermic reaction 0.03235057134341396,1,1
,exothermic process 0.0311508695857484,1,1
,endothermic process 0.029168770356564868,1,1
,chemical reaction 0.02895721493100413,1,1
,reactant 0.028467368269816197,0,1
,decomposition reaction 0.028391522084136686,1,1
,nitrogen dioxide 0.02748812505693015,0,0
,exergonic and endergonic reaction 0.031439533294665596,1,0
,heterogeneous catalysis 0.03064711043104416,0,0
,endothermic gas 0.029446225594977712,1,0
,chemical kinetics 0.028169966997320803,1,1
,salt metathesis reaction 0.027625696444236993,0,0
,chemical transport reaction 0.02726313835636623,0,0
,,,
lung_cancer,small cell lung cancer 0.05288984842896665,1,1
,non - small cell lung cancer 0.051134011734174395,1,1
,lung cancer 0.044775485318457896,1,1
,lung tissue sample 0.041099842821064256,1,1
,cancer cell 0.04054651524580731,1,1
,small cell 0.03785940601141971,0,1
,tiny cell 0.036616196496316304,0,0
,lung 0.03615812811851761,1,1
,baby cell 0.03557618311795573,1,1
,cell wall 0.03519668074069822,0,0
,squamous-cell carcinoma of the lung 0.02912512430285979,0,0
,combined small-cell lung carcinoma 0.02863982998828854,0,0
,lung transplantation 0.028167606056425345,1,1
,treatment of lung cancer 0.028036402192977317,0,0
,non-small-cell lung carcinoma 0.027781115997862312,0,0
,large-cell lung carcinoma 0.027640266545773475,0,0
,cancer stem cell 0.027265928117529516,0,0
,lung cancer vaccine 0.026931688275712157,0,0
,,,
ph_doc,hydroxide ion 0.02860110139296824,1,1
,sodium hydroxide 0.02819340323087808,1,0
,molar concentration 0.027856648296071134,1,1
,hcl 0.02785566972807755,1,0
,hydronium ion 0.027297255109967295,1,1
,buffer solution calculation 0.026750181575682392,1,1
,nh3 0.026563625221091153,1,0
